time_ms,TL,TR,BL,BR
0,0,0,0,0
19,-5,5,-5,5
40,-16,15,-17,14
60,-32,30,-33,28
80,-51,48,-52,45
100,-73,69,-73,65
120,-96,91,-95,86
140,-120,115,-119,109
160,-146,139,-143,133
180,-172,164,-168,157
200,-198,189,-193,182
220,-225,214,-218,207
240,-252,240,-244,232
260,-279,266,-269,258
280,-306,293,-295,284
300,-333,319,-320,310
320,-360,345,-346,336
340,-387,371,-372,363
360,-414,398,-397,389
380,-442,425,-423,415
400,-469,451,-449,441
420,-496,477,-475,468
440,-524,504,-500,494
461,-551,530,-526,521
480,-578,557,-552,547
501,-606,584,-577,573
520,-633,611,-603,600
540,-660,637,-629,626
560,-687,663,-654,652
580,-715,690,-680,679
600,-742,717,-706,705
620,-769,743,-732,732
641,-796,769,-757,758
660,-823,796,-783,785
681,-851,823,-809,811
700,-878,849,-834,838
721,-905,875,-860,864
740,-932,902,-886,891
761,-960,928,-912,917
780,-987,955,-937,944
801,-1014,981,-963,970
821,-1041,1008,-989,997
841,-1069,1035,-1014,1023
861,-1095,1062,-1040,1049
880,-1123,1088,-1066,1076
901,-1150,1115,-1092,1103
920,-1178,1141,-1117,1129
941,-1205,1168,-1143,1155
960,-1232,1194,-1169,1182
981,-1259,1221,-1195,1209
1001,-1286,1248,-1220,1235
1021,-1314,1275,-1246,1261
1041,-1341,1301,-1271,1288
1061,-1368,1328,-1297,1314
1081,-1395,1354,-1323,1341
1101,-1423,1381,-1349,1367
1121,-1450,1407,-1374,1394
1141,-1477,1434,-1400,1420
1161,-1504,1461,-1426,1447
1180,-1531,1488,-1451,1473
1201,-1558,1514,-1477,1500
1221,-1586,1540,-1503,1526
1241,-1613,1567,-1529,1553
1261,-1641,1593,-1555,1579
1281,-1668,1620,-1580,1606
1301,-1695,1646,-1606,1632
1321,-1722,1673,-1632,1659
1341,-1749,1700,-1658,1686
1361,-1776,1727,-1683,1712
1381,-1803,1753,-1709,1738
1402,-1831,1779,-1734,1765
1421,-1858,1806,-1760,1792
1442,-1885,1832,-1786,1818
1461,-1913,1859,-1811,1844
1482,-1940,1886,-1837,1871
1501,-1967,1913,-1863,1898
1521,-1994,1939,-1888,1924
1541,-2022,1965,-1914,1951
1561,-2049,1992,-1940,1977
1582,-2076,2019,-1965,2004
1601,-2103,2046,-1991,2030
1622,-2130,2072,-2017,2057
1641,-2158,2099,-2043,2083
1662,-2185,2125,-2069,2110
1681,-2212,2152,-2094,2137
1702,-2240,2179,-2120,2163
1721,-2267,2205,-2145,2189
1742,-2294,2232,-2171,2216
1761,-2321,2259,-2197,2242
1782,-2349,2286,-2222,2269
1802,-2376,2312,-2248,2295
1822,-2403,2339,-2274,2322
1842,-2430,2365,-2300,2349
1861,-2458,2392,-2325,2375
1882,-2485,2419,-2351,2401
1901,-2512,2446,-2377,2428
1922,-2539,2473,-2402,2455
1941,-2567,2499,-2428,2481
1962,-2594,2526,-2454,2507
1982,-2621,2553,-2480,2534
2002,-2649,2579,-2505,2561
2022,-2676,2606,-2531,2587
2042,-2703,2633,-2557,2613
2062,-2730,2660,-2583,2640
2082,-2758,2687,-2608,2667
2102,-2785,2713,-2634,2693
2122,-2812,2740,-2660,2720
2142,-2839,2767,-2685,2746
2161,-2867,2794,-2711,2772
2182,-2894,2821,-2737,2799
2202,-2922,2847,-2763,2826
2222,-2949,2874,-2788,2852
2242,-2976,2901,-2814,2878
2262,-3003,2928,-2839,2905
2282,-3031,2955,-2865,2932
2302,-3058,2981,-2890,2958
2322,-3085,3008,-2916,2984
2342,-3113,3035,-2942,3011
2362,-3140,3061,-2968,3038
2383,-3167,3088,-2993,3064
2402,-3194,3115,-3019,3091
2423,-3222,3142,-3044,3117
2442,-3249,3169,-3070,3144
2463,-3276,3196,-3095,3170
2482,-3303,3222,-3121,3196
2502,-3331,3249,-3147,3223
2522,-3358,3276,-3172,3250
2542,-3385,3303,-3198,3276
2563,-3413,3329,-3224,3302
2582,-3440,3356,-3249,3329
2603,-3467,3383,-3275,3355
2622,-3495,3409,-3300,3382
2643,-3522,3436,-3326,3408
2662,-3549,3462,-3352,3434
2683,-3576,3489,-3377,3461
2702,-3604,3515,-3403,3488
2723,-3631,3542,-3429,3514
2742,-3658,3569,-3454,3540
2763,-3685,3596,-3480,3567
2783,-3713,3623,-3506,3593
2803,-3740,3649,-3531,3620
2823,-3768,3676,-3557,3646
2842,-3795,3703,-3583,3672
2863,-3822,3730,-3609,3699
2882,-3849,3757,-3634,3725
2903,-3876,3784,-3660,3752
2922,-3904,3810,-3686,3778
2943,-3931,3837,-3712,3805
2963,-3958,3863,-3737,3831
2983,-3985,3890,-3763,3857
3003,-4013,3917,-3789,3884
3023,-4040,3944,-3815,3911
3043,-4067,3971,-3841,3937
3063,-4094,3997,-3866,3963
3083,-4122,4024,-3892,3990
3103,-4149,4051,-3918,4016
3123,-4177,4078,-3944,4043
3144,-4204,4105,-3970,4069
3163,-4231,4132,-3995,4096
3183,-4259,4158,-4021,4122
3203,-4286,4185,-4046,4148
3223,-4314,4212,-4072,4175
3243,-4341,4239,-4098,4202
3263,-4368,4266,-4124,4228
3283,-4395,4293,-4149,4254
3303,-4423,4320,-4175,4281
3323,-4450,4346,-4201,4308
3343,-4478,4373,-4226,4334
3364,-4505,4400,-4252,4360
3383,-4532,4427,-4277,4387
3404,-4559,4454,-4303,4414
3423,-4587,4481,-4329,4440
3444,-4614,4508,-4354,4467
3463,-4642,4534,-4380,4493
3483,-4669,4561,-4406,4519
3503,-4696,4588,-4431,4546
3523,-4723,4615,-4457,4572
3544,-4751,4642,-4483,4599
3563,-4778,4669,-4508,4626
3584,-4805,4696,-4534,4652
3603,-4833,4723,-4560,4678
3624,-4860,4750,-4586,4705
3643,-4888,4777,-4611,4731
3664,-4915,4804,-4637,4758
3683,-4942,4831,-4663,4784
3704,-4970,4857,-4688,4811
3723,-4997,4884,-4714,4837
3744,-5024,4911,-4740,4864
3764,-5052,4938,-4766,4890
3784,-5079,4965,-4791,4917
3804,-5106,4992,-4817,4943
3823,-5133,5019,-4843,4970
3844,-5161,5046,-4868,4996
3863,-5188,5073,-4894,5023
3884,-5215,5100,-4920,5049
3903,-5243,5126,-4946,5076
3924,-5270,5153,-4971,5102
3943,-5297,5180,-4997,5129
3964,-5325,5207,-5023,5155
3984,-5352,5234,-5049,5182
4004,-5379,5260,-5075,5208
4024,-5406,5287,-5100,5235
4044,-5434,5314,-5126,5261
4064,-5461,5341,-5152,5288
4084,-5488,5367,-5177,5314
4104,-5516,5394,-5203,5341
4123,-5543,5421,-5229,5367
4144,-5570,5448,-5255,5394
4164,-5598,5475,-5281,5420
4184,-5625,5501,-5306,5447
4204,-5652,5528,-5332,5473
4224,-5679,5555,-5358,5500
4244,-5707,5582,-5383,5527
4264,-5734,5609,-5409,5553
4284,-5762,5636,-5435,5580
4304,-5789,5663,-5461,5606
4324,-5816,5689,-5487,5632
4345,-5844,5716,-5512,5659
4364,-5871,5743,-5538,5686
4385,-5898,5770,-5564,5712
4404,-5925,5797,-5590,5739
4425,-5953,5824,-5615,5765
4444,-5980,5851,-5641,5792
4464,-6007,5878,-5667,5818
4484,-6035,5905,-5693,5845
4504,-6062,5932,-5719,5871
4524,-6090,5958,-5745,5898
4544,-6117,5985,-5770,5924
4565,-6144,6012,-5796,5951
4584,-6171,6039,-5822,5977
4605,-6199,6066,-5848,6004
4624,-6226,6092,-5874,6030
4645,-6254,6119,-5900,6057
4664,-6281,6146,-5926,6083
4685,-6308,6173,-5951,6109
4704,-6336,6199,-5977,6136
4725,-6363,6226,-6003,6163
4745,-6391,6254,-6029,6189
4764,-6418,6280,-6055,6216
4785,-6445,6307,-6081,6242
4804,-6473,6334,-6107,6269
4825,-6500,6361,-6132,6295
4844,-6528,6387,-6158,6322
4865,-6555,6413,-6184,6348
4884,-6582,6440,-6210,6375
4905,-6610,6467,-6236,6401
4925,-6637,6494,-6262,6428
